gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Gpr34,-1.91843733151794,8.39145881847638,34.6685429508078,3.90897329883981e-09,9.58306520728907e-07,-3.78013388162127
Alox15,-3.77438158141191,3.47470364977755,34.5209276460085,4.21692998956732e-09,1.01132981836754e-06,-13.6836535856829
Cfh,-1.54309654996204,7.97971597450431,34.4381515519294,4.40013200462713e-09,1.02866452269033e-06,-2.91419324879826
Whrn,-2.53648331477906,3.77811669667558,34.4050097549474,4.47569770568671e-09,1.02866452269033e-06,-5.801730633766
Gpr165,-5.06970141805015,3.1932849781985,34.358170134864,4.58471705438102e-09,1.03221629681493e-06,-33.5839825740709
Chil3,-2.40807454181045,5.59470938049738,34.1647902943377,5.06369086860686e-09,1.11725275324942e-06,-5.30765479357779
Tle3,-1.16169316570278,5.65550231790823,34.0650089839301,5.33011814490045e-09,1.15297771322631e-06,-2.23719834115561
Il4i1,-2.0801027490609,5.17328421685151,33.8952267573273,5.81612166944979e-09,1.2339125818725e-06,-4.22837329720631
Ccl8,2.74454216689344,4.68270573920869,33.633309005982,6.65434204087507e-09,1.38510757348932e-06,6.70176996178538
Atp8a2,-2.08596084152941,5.12315044794014,33.38671812896,7.55380850986397e-09,1.54321510149665e-06,-4.24557759829087
Fscn1,-2.13767018055271,6.34803506059273,33.3158876699698,7.83399967100377e-09,1.5713578976457e-06,-4.40050830720771
Slc9a9,-1.2617073523804,6.37297167488384,33.1029755361579,8.74048602995389e-09,1.72187574790092e-06,-2.39779339095971
Lsp1,-1.82044009747646,7.55078875586597,32.68959362735,1.08114501438308e-08,2.09248978924108e-06,-3.53188923186771
Sell,-2.01952743169676,6.23903544833699,32.1502823090131,1.42695957297638e-08,2.7141755188061e-06,-4.05450960893962
Acvrl1,0.980883718889423,6.62011395414019,31.961633307378,1.57247830574793e-08,2.94026791000189e-06,1.97367400738578
Rai14,1.24642289679392,5.72721759076178,31.7851790510808,1.72201778194362e-08,3.16621669506701e-06,2.3725243543028
Nhsl2,-2.18931527969306,3.7096119534926,31.7484034336271,1.75493467329483e-08,3.17384251078501e-06,-4.56088969695353
Adgrg1,-1.86035976495059,7.74808272255197,31.4489895691066,2.04749133417763e-08,3.6432136126851e-06,-3.63098196657604
Gatm,1.24170561986796,9.84537405476522,31.4155361010622,2.08307409469798e-08,3.64769419249335e-06,2.36477942095003
S1pr5,-3.65943219511352,2.74063175155991,31.1748364033188,2.35803003468518e-08,4.06465427228858e-06,-12.6356869539704
St3gal6,-1.56437210183106,6.21399185300724,30.7457243580737,2.94151267988845e-08,4.99242582838914e-06,-2.95748756332587
Selplg,-1.32662145325107,9.98165506890795,30.492372471537,3.35181758481757e-08,5.60261387813749e-06,-2.50814621369125
Lpar6,-1.08730391288792,6.64536229363519,30.3558723828827,3.59616616897311e-08,5.92132913076289e-06,-2.12476592130745
Ccl3,1.10739547114973,9.01870973421223,29.7480539749704,4.91999933359481e-08,7.98197538944382e-06,2.15456327971146
Hgf,1.29544003056493,4.99396425575398,29.6174421001097,5.26292222064864e-08,8.41457361423128e-06,2.45451848307952
Gas2l3,1.27108869029106,4.78699478670994,29.4748809953017,5.66461275769112e-08,8.92742970612121e-06,2.41343620189784
C3ar1,0.995273566453838,9.89394967497752,29.3115833313562,6.16262079628593e-08,9.57549755276428e-06,1.99345849303909
4930523C07Rik,-1.41260175342468,5.277002671607,29.1799201326912,6.59592493032772e-08,1.01064227543577e-05,-2.6621682508176
Ccnd3,-0.894180906125895,7.21076753876816,29.0549551540352,7.03539196826019e-08,1.06321156429927e-05,-1.85855438652085
Kit,-1.49116660707342,4.71415106861412,28.941948850193,7.45801527685065e-08,1.11184898019211e-05,-2.81116202372025
Ifngr1,-1.02689535625986,8.93343446162266,28.8025898463253,8.01438727797901e-08,1.17886293934219e-05,-2.03763459107721
