gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Ifitm3,5.17169129169874,9.45164051891863,269.267641531548,1.63879404272202e-60,2.25989698491366e-58,36.0441017593702
Ifi209,5.43351986091899,8.42374902009632,268.827984379415,2.04336979495325e-60,2.78301920715114e-58,43.216785460626
Slfn5,6.06005870698316,7.66032714367713,268.784281478969,2.08868034441533e-60,2.81003921458414e-58,66.7205236688293
Cd69,7.28487975296601,6.44262706098598,264.922207229954,1.45087625566278e-59,1.92844178945444e-57,155.943515489415
Tspo,3.09188119225176,7.99353225298498,264.861537178718,1.49573299378976e-59,1.96439599851056e-57,8.52607172691893
Ccrl2,3.80018838346205,7.99376335501069,263.521760285175,2.9300562164185e-59,3.80286825641516e-57,13.930627920069
Gbp8,7.00370602456345,6.16511346145833,262.490796577875,4.91577192924081e-59,6.30590650271914e-57,128.329231708618
Gpnmb,9.47750854563594,5.56061105086155,260.557182047015,1.29737119691582e-58,1.64512632693969e-56,712.876595176251
AA467197,8.09354322794181,5.69285718597175,258.744956412225,3.22172280168237e-58,4.03869413682092e-56,273.148791135333
Ly6i,7.45937255782027,6.90172924087268,258.722529844066,3.25819233300455e-58,4.03869413682092e-56,175.992795087849
Dpp4,6.26381525604558,5.10022714346116,257.809884568725,5.15129750840414e-58,6.31434601252383e-56,76.8415787997517
Slfn1,8.20289007994598,6.99234184788693,252.088374172995,9.10254214682874e-57,1.10350818641555e-54,294.656458820528
Lgals1,3.97084474711237,6.2259575310563,249.941432839297,2.67428602415465e-56,3.20681776287762e-54,15.6799031916644
Xaf1,3.705978173795,6.47078536984136,249.810839477761,2.8554755136238e-56,3.387269447989e-54,13.0500024614129
Kmo,5.49570112208144,5.60173267406457,247.871308284347,7.55999415716784e-56,8.87253782360379e-54,45.120186381227
Itgal,4.01578821184056,7.1048711182294,247.83125779234,7.71352914999383e-56,8.95743721923494e-54,16.1760584680156
Parp14,2.98159961701725,8.12110025871202,246.943119951306,1.20471190804416e-55,1.38441476766075e-53,7.89861452961039
Txn1,3.25581598530087,6.64811452334018,246.252952674985,1.70354665935996e-55,1.93747698412981e-53,9.55208705716282
Ccl2,3.71055005724667,7.94153738589705,244.456735527217,4.19734481298021e-55,4.72501101804058e-53,13.0914233607412
Sdc3,3.20310461484362,7.83576613576963,242.510415803536,1.11515295079015e-54,1.24266336900171e-52,9.20938371090769
Psmb9,2.76197774583808,7.52699157376176,241.63833286844,1.72774955700517e-54,1.9060533112881e-52,6.78325508177016
Lgals3bp,3.26316209233294,10.0725442854559,239.457832707638,5.16324507851719e-54,5.63969502041601e-52,9.60084969075465
Ikbke,6.51829771687181,5.3416828215835,239.388522038925,5.34608313172749e-54,5.78215579502134e-52,91.6649136044066
Ciita,4.2762840461503,6.85707074687016,236.745333556776,2.01552365642057e-53,2.15876281336231e-51,19.3771440519459
Rsad2,7.19708070792474,8.02943471339678,234.743714545896,5.50633148693088e-53,5.84094701575206e-51,146.736168327392
Slfn4,10.8782348782694,8.46659199462811,233.757495830287,9.03490509891793e-53,9.49267362392977e-51,1882.2399989002
Klrk1,6.50202415732816,6.19530375320772,233.197590379909,1.19680086540779e-52,1.24557614596026e-50,90.636745707618
Itgax,4.31177386574975,7.47051267405056,232.990195261695,1.32815498173367e-52,1.36936502415756e-50,19.85972672112
Selenow,3.25124864090138,6.26549790140406,232.919324706719,1.37626988599043e-52,1.40583420205986e-50,9.52189447747427
Samhd1,3.18038648325076,8.8777946750702,232.144398642716,2.03092659225073e-52,2.05552129960643e-50,9.06549931167927
Bst2,3.06066660026509,8.29146486044479,230.717497715705,4.15785496208811e-52,4.16995054015964e-50,8.34358036500341
Ly6c2,10.2675957949601,7.85328305493692,229.941911895516,6.13777040261005e-52,6.10016964699046e-50,1232.69126246636
Napsa,3.71063625208925,6.75492875896335,228.595446895009,1.20685804500163e-51,1.18875517432661e-49,13.0922055405181
Psmb8,2.52330316141297,8.5955420999302,228.409832472158,1.32475854296411e-51,1.29333949079469e-49,5.74896864153401
Sell,8.44041181438197,6.03329801183184,227.904014086269,1.70785531541354e-51,1.65272454733703e-49,347.38985540692
Slamf8,2.79639272267483,6.94695583524391,226.764282865554,3.02705180788213e-51,2.90386396039614e-49,6.94701264181242
Bhlhe40,4.55999153202063,6.74043670432994,224.59221468558,9.01052961498327e-51,8.56932437176685e-49,23.5881690241717
Fgr,3.50880009219548,6.34703353119663,224.509066351951,9.39475493478123e-51,8.85837063594073e-49,11.3829302988112
Traf1,4.62942839371776,6.15434875889177,221.859218862877,3.55506975040008e-50,3.32368893952659e-48,24.7512313355784
Ifit3b,6.0412325253891,6.67421903593175,220.472468677536,7.13389341994181e-50,6.61353884107547e-48,65.8555226688089
AB124611,4.15604743319656,6.1409918770594,215.930270723786,6.98445092798307e-49,6.42103855312577e-47,17.8276845454104
Mndal,6.37636931173443,6.6116067356344,215.886028766015,7.14140038089993e-49,6.51106851256926e-47,83.0765449100474
Cd274,4.39885864056771,7.0338565859623,215.620705803499,8.15947373619006e-49,7.37830444734826e-47,21.0954307392992
Osm,4.02289688630292,7.09047979321701,215.202342812361,1.00676109519289e-48,9.02974666842928e-47,16.2559603846344
Tmem106a,2.69899098910435,7.39745702483157,213.465848934681,2.4084882272184e-48,2.14277759053818e-46,6.49347609023916
Samd9l,4.84446322661569,6.74239937816854,213.094722110361,2.90207135533498e-48,2.56125209536444e-46,28.7295447441141
Cybb,4.51915875799169,9.1206373100968,212.54626708451,3.82259289618648e-48,3.34689244688327e-46,22.92990953525
Trim30a,2.72306274066108,8.19872926403021,210.623817775804,1.00407785393648e-47,8.72203691702931e-46,6.60273040478029
H2-DMb2,2.8214997900234,5.93910484297406,209.233101780746,2.01921555637714e-47,1.74031140765255e-45,7.06896887679109
Gpr65,3.12787625052501,6.31600009223787,207.385929047938,5.10738551365029e-47,4.36780441756512e-45,8.74147206689832
Clec4e,4.5295589344691,6.86473831207009,204.768880313612,1.90202000712861e-46,1.6140834398956e-44,23.0958051224727
Phf11a,7.16477492247482,5.49737421547551,203.17540733285,4.23558605865681e-46,3.56694545031313e-44,143.486870588928
Ifih1,3.21723254216945,7.41626902130377,203.084524003477,4.43348042623408e-46,3.70531485319806e-44,9.30001177056405
H2-T23,2.4164025330457,8.97393549859596,202.554429130843,5.78649408758205e-46,4.79974456948911e-44,5.33838195768668
Mcemp1,4.64414639394198,5.09784081407732,198.167764496748,5.24415698498732e-45,4.31742834764031e-43,25.0050293608296
Tgm2,2.89189732218017,8.78750280935667,197.824197988701,6.23237085581827e-45,5.09300113195461e-43,7.42245953028191
Mmp25,6.3962604299553,4.76861081182065,197.644621364096,6.82092253638431e-45,5.53297186921998e-43,84.2298930973216
Trex1,2.5038050349162,7.7726043487526,196.765139445615,1.06115549970012e-44,8.54501275378956e-43,5.67179360758272
Gm49339,5.16884504514836,6.53721142608749,193.915973341075,4.44225254743274e-44,3.55122681907812e-42,35.9730616121043
Cxcl16,3.00586175983749,8.45795682495914,192.615143047988,8.5412568976968e-44,6.77893137376914e-42,8.03257062186118
Cfp,4.269619071305,6.58130888187994,192.568199508854,8.7451615658769e-44,6.891187313911e-42,19.2878318182681
Ifitm2,3.96013427463688,7.77004415067252,192.150211909699,1.07894612417951e-43,8.44179690918324e-42,15.5639276584012
Cmpk2,5.79351639021153,6.82870371925657,191.734293091093,1.3297841093321e-43,1.03311114747548e-41,55.4654082356793
Nampt,3.24235727837137,8.19812847167373,189.441930993722,4.20868449097574e-43,3.24686764366744e-41,9.4633912874786
Gbp7,2.47607933366198,8.05890365143704,189.315883749055,4.48394444121477e-43,3.43519965801954e-41,5.56383383311696
Ccl3,2.64954516540362,7.7285397504671,188.847295739907,5.67473271035888e-43,4.31749319039166e-41,6.27469426527646
Socs3,2.83972312364397,8.98365479145304,188.71013976309,6.07973416696702e-43,4.5939470773959e-41,7.15882654175536
Herc6,2.97060043791156,6.99263755716483,187.125867140518,1.34808333253918e-42,1.01170444384845e-40,7.83862407332266
Ms4a6c,3.92873145301618,7.12961269429267,187.026020665364,1.41746653627428e-42,1.05658721812013e-40,15.2288115417701
Top2a,5.74077759911291,5.83867982776767,185.94582465877,2.43960242893364e-42,1.80628818765073e-40,53.4744413003077
Irf1,2.68382755951487,8.06201486049091,180.372199179581,4.01933856936304e-41,2.9560895398142e-39,6.42558389972609
Epsti1,2.60078626023788,6.70932960942393,179.804553617468,5.34680464631556e-41,3.90635422901677e-39,6.06617139274146
Glrx,3.13526588374729,6.8835665596782,179.570601230855,6.01417545770534e-41,4.36502524009246e-39,8.78636165740461
Mthfr,2.34492804889654,6.98417498469565,179.081469859646,7.69087027834407e-41,5.54546934056809e-39,5.08035055301503
Fxyd5,3.77475006555,7.60882952369242,177.958408563177,1.35268390923098e-40,9.69013564067282e-39,13.6871490252139
Plbd1,4.00483921831503,7.91599828036661,176.378991728482,2.9927945188065e-40,2.13009736332086e-38,16.0537587593431
Ccl12,3.8459320388693,7.66362453313529,174.305009723619,8.4913426727273e-40,6.00490335676459e-38,14.3794046382565
Irgm1,2.98236687366315,8.47006618422971,174.133486630029,9.25621713975843e-40,6.50411385259968e-38,7.90281630205396
Ccl4,3.11054612686972,7.71549424267989,172.822922874693,1.78912598250889e-39,1.24921758474924e-37,8.63709481356148
Msr1,5.94037094820108,6.32706196889828,172.656248921954,1.94554318632652e-39,1.34988883217322e-37,61.4086911141148
BC147527,4.54011389443063,5.5412851669889,171.102344959582,4.25018463624277e-39,2.93050230668939e-37,23.2653969054259
Scimp,4.89515978754378,5.7804531362853,170.271144723391,6.45574021073199e-39,4.42358546613636e-37,29.7570537618546
P2ry14,4.91813777282186,5.05732050332032,169.329436443724,1.03663510532237e-38,7.05935708760273e-37,30.2347925012831
F830016B08Rik,5.0699706058459,4.83140463247733,169.049712914627,1.19322403734499e-38,8.07585741103674e-37,33.5902494852664
C4b,6.15992851774358,9.12079997470133,168.858811395094,1.31346427433123e-38,8.83544992342816e-37,71.5028339461344
Gpr165,-3.26875664019447,6.39894254289859,168.256019233336,1.77860916684051e-38,1.18918886839906e-36,-9.63815257912558
Siglec1,5.93559009893534,5.64455003670483,167.892521362217,2.13539040176485e-38,1.41913415134155e-36,61.2055298239314
Lilr4b,4.03983789127031,7.84611134423528,167.403776186185,2.73044018482681e-38,1.80372551610835e-36,16.4479729427414
Adgrg5,6.04613213347003,5.51762234673222,167.09031065933,3.19670901379843e-38,2.0991722523943e-36,66.0795580845339
Prdx5,2.1572238575119,7.89619694483965,166.793881135775,3.71067610928845e-38,2.42225910282072e-36,4.46055694890217
Ccnd2,5.05095898055865,7.03389283722525,165.761482899273,6.23688839211492e-38,4.04737369069481e-36,33.1505058684273
Gbp5,4.41503487178275,5.74546657508692,165.196402465513,8.28717377672404e-38,5.34643866110056e-36,21.3332944802165
Evi2b,2.58578555204481,6.49142409130456,164.672380059603,1.078644302411e-37,6.9183743861617e-36,6.00342395080844
Psme2,2.32200637027282,7.71883272948146,164.448357922277,1.20730268157332e-37,7.69882264920052e-36,5.00027128917321
Pml,2.67424194886171,6.91628855950022,164.23389053719,1.34482940999813e-37,8.52652761557435e-36,6.38303230262372
Cd244a,3.3805833898755,5.87130280720692,163.874883940909,1.61099450038843e-37,1.01557093304487e-35,10.4149455362231
C2,7.46247212496204,5.08390130453386,163.600148784602,1.84974588598968e-37,1.15945435308171e-35,176.371314374517
Gbp9,2.90446331091366,7.22904800955265,163.412895653874,2.03244734111334e-37,1.26677734842725e-35,7.48739211756803
Igtp,2.55821670348241,7.97801625235333,163.072904980944,2.41153860816463e-37,1.49461201827372e-35,5.88979207263252
Phf11d,3.25678254224294,7.15899131141201,162.805161907118,2.75922080806181e-37,1.70054323768368e-35,9.55848877704304
Nr4a3,5.53487200446026,4.42637017882979,162.5613169643,3.11930836685313e-37,1.91178943906243e-35,46.3620355352023
Dram1,4.47021507661557,5.17689326914465,162.091365161668,3.95119255241782e-37,2.40826277559522e-35,22.1650556044216
Cyp4f18,4.90613938800558,7.55398008781808,161.826795596502,4.51366390212675e-37,2.73597473451991e-35,29.9843831432216
Sema4a,3.8611043457331,6.61309840456782,161.243144475719,6.05400268498844e-37,3.64960424157336e-35,14.5314256592441
Gpr171,6.09066520259155,6.17604257510731,160.922506503616,7.11369577532328e-37,4.26512455398731e-35,68.151107771467
Cd44,4.06563935404386,7.08860400802495,159.871424074414,1.20709290129911e-36,7.19818858763879e-35,16.7447781165376
Bcl2a1a,3.19230250959861,6.21558304722297,159.669563027336,1.33611945326912e-36,7.92476871422849e-35,9.14068642658233
Tmem204,-3.03969108018132,5.55772090078521,158.639758035359,2.24312007788817e-36,1.32332089300868e-34,-8.22314962716913
Parp9,2.05734984739014,7.416917432418,158.600043089507,2.28839092936802e-36,1.34284727302064e-34,4.16221026194478
Map4k1,3.47154509536361,4.82725850811815,157.579293037466,3.82444262682794e-36,2.23234132588179e-34,11.0927494816392
Cstb,2.4836997304274,6.40874311046798,157.343148759803,4.30693059266012e-36,2.50073991043297e-34,5.5933000706189
Bcl2a1d,3.89056986128551,6.33493158337781,157.156736554847,4.73043426807336e-36,2.73225920656467e-34,14.8312661500478
Pstpip1,4.00674493605384,5.44194825374955,156.72345520723,5.88273054210517e-36,3.3801189239846e-34,16.0749788698263
Tgfbi,4.19733393896247,10.0572520814567,156.450674790502,6.74817078490123e-36,3.8572963781881e-34,18.345240832047
Csrnp1,3.02387055949035,6.87386773553391,156.070247743021,8.17178345964196e-36,4.64696469725619e-34,8.13346760811277
