gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Cpd,2.83577489345269,6.72083304151862,401.672911967912,2.38102866702878e-89,2.56024587852557e-87,7.13926173181083
H2-T22,2.68996941060755,6.86893276384193,401.429292197506,2.69027750108849e-89,2.8619973415835e-87,6.45299724974113
Anxa5,2.34281977543447,7.17294703020345,400.616468324188,4.04331431820285e-89,4.25612033495037e-87,5.07293183616984
Atp6v0c,1.53721301619218,9.85619216484752,399.871502145492,5.87363602902108e-89,6.11837086356363e-87,2.90233291805384
Rpl3,1.39630825338177,10.1229436673402,397.60083510408,1.83318616612816e-88,1.88988264549295e-86,2.63227141415005
Gaa,1.93074942054539,8.84228097977283,397.194605374611,2.24718644286863e-88,2.29304739068227e-86,3.81253193090876
Dpp7,2.23869908845339,7.40849372624178,395.668831559319,4.8282335189185e-88,4.87700355446313e-86,4.71971285189339
Cd52,2.37535225348152,7.46708581334154,394.370649223842,9.25539670915485e-88,9.25539670915485e-86,5.18862493681855
Acod1,9.51425613656548,5.49610957343869,394.190551663069,1.01298127488064e-87,1.00295175730756e-85,731.267855616846
Itgal,4.63192292692436,5.88552602934591,393.473750548958,1.45092860329332e-87,1.42247902283659e-85,24.7940651823373
H2-Ab1,6.490880882639,9.99557585835328,392.12002092036,2.85988985567658e-87,2.77659209288989e-85,89.9393705849141
Adgrg1,-1.60557190571891,9.47815138503436,390.89772129734,5.27767712186539e-87,5.07468954025519e-85,-3.04316362261529
Cst3,-1.46178715574781,13.8381191962066,389.880821565528,8.78663447794725e-87,8.36822331233071e-85,-2.75449368574211
Slc2a6,3.52238019411638,6.49315940312114,387.884887983068,2.38969721599942e-86,2.25443133584851e-84,11.4905838050855
Fcgr4,3.0127963007929,6.47406249734666,376.827012802929,6.10629730849626e-84,5.70681991448249e-82,8.07127337871207
Ifi211,7.69559626446081,5.45580878882733,369.56493087726,2.32767470585429e-82,2.15525435727249e-80,207.302867807399
Fabp5,5.26750169032287,5.63056799093195,358.96618638648,4.72818854651373e-80,4.33778765735204e-78,38.5190893329477
C2,9.37871317075287,5.36579011256924,358.713989979235,5.36550142965221e-80,4.8777285724111e-78,665.692992200419
Vsir,-1.1917109085444,10.8426932400243,349.591397760665,5.20138113130394e-78,4.68592894712067e-76,-2.28423472619298
Il18bp,4.96534675696957,5.64575760900695,349.244416626795,6.1898352476299e-78,5.52663861395527e-76,31.2405242154856
Tmem176b,-1.76513068715326,8.87624705662716,347.236091789235,1.69444119802409e-77,1.49950548497707e-75,-3.3990478868298
Siglech,-1.35140435590253,9.81941611176762,346.943151309317,1.96254646711482e-77,1.72153198869721e-75,-2.55160384195876
Nceh1,2.61217014707741,6.62860555329343,340.026113878627,6.29772168437133e-76,5.47627972554028e-74,6.11422713394419
Eef2,1.19507560890129,10.850966850785,336.677907238089,3.37577588407174e-75,2.91015162419977e-73,2.28956830997066
Rps5,1.59427992985833,8.69856627172064,335.943305082511,4.87935000683699e-75,4.1703846212282e-73,3.01943774953902
Tmem106a,2.31249452219514,6.87746998874828,335.512876189673,6.05487502599076e-75,5.13125002202607e-73,4.96741238736586
Mfsd12,1.92908805095935,7.55050456007317,334.730193966441,8.96533738996048e-75,7.53389696635334e-73,3.80814404658944
Abcg1,1.90399585444175,8.47042691013318,333.156905929365,1.97341666620377e-74,1.64451388850314e-72,3.74248323735188
Fscn1,-2.24940923833603,7.20921973071597,330.417297483474,7.79649815753781e-74,6.44338690705604e-72,-4.75488100989984
Igf1,4.78290357302079,5.6041435683141,330.179591093026,8.78359312030606e-74,7.19966649205415e-72,27.5294441026445
Ccl3,2.99272423076798,6.29536022946524,329.283445004476,1.37674813939506e-73,1.11930743040249e-71,7.95975613237165
Clcn7,1.68138322621992,8.19621757427958,327.514328219023,3.34330582579951e-73,2.69621437564476e-71,3.20735318064913
Ctsa,1.07807662000524,10.9660952111281,327.131844729718,4.05026606365684e-73,3.24021285092548e-71,2.11121955693263
Naglu,1.52556271367909,8.93411627143314,326.682122117792,5.07500535156425e-73,4.02778202505099e-71,2.87898987205282
Ly6a,4.56127852764865,5.62488413987705,323.17148584394,2.95184417504082e-72,2.32428675200064e-70,23.6092208850007
Zbp1,5.95945342237878,5.38377597223859,321.726296672019,6.09367884129813e-72,4.76068659476416e-70,62.226337176509
Aldoa,1.72748560955429,9.38646551297464,319.63637682809,1.73822654663743e-71,1.34746243925382e-69,3.31150172455528
Fam20c,3.42167785260891,6.28025175379045,314.601816130397,2.17156794204563e-70,1.67043687849664e-68,10.7158757448203
Slamf8,2.16234607864525,7.02825156375097,311.870355477376,8.54641995500218e-70,6.52398469847495e-68,4.4764220948759
